Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.074,0,-4.73549e-05,-0.000899605,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000112377,0.00412457,-1.65865,-1,-1.35148,1.48657,717.625,0,0,0
0.075,0,-4.82437e-05,-0.000888757,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000117332,0.00495449,-1.99099,-1,-1.51452,1.46478,734.167,0,0,0
0.076,0,-4.91202e-05,-0.000876547,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000122915,0.00558315,-2.24287,-1,-1.47977,1.62803,741.897,0,0,0
0.077,0,-4.99833e-05,-0.000863056,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000128683,0.00576783,-2.3172,-1,-1.39999,1.81659,749.552,0,0,0
0.078,0,-5.08325e-05,-0.000849249,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000133943,0.00526018,-2.11458,-1,-1.3497,1.97497,759.847,0,0,0
0.079,0,-5.16668e-05,-0.00083432,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000138673,0.00472986,-1.90285,-1,-1.50138,1.99204,767.184,0,0,0
0.08,0,-5.24852e-05,-0.000818363,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000143202,0.00452962,-1.82312,-1,-1.60571,2.04952,774.418,0,0,0
0.081,0,-5.32883e-05,-0.000803121,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000148605,0.0054032,-2.17295,-1,-1.62707,2.17979,786.82,0,0,0
0.082,0,-5.40752e-05,-0.000786884,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000154941,0.00633509,-2.54618,-0.852616,-1.40676,2.46736,793.524,0,0,0
0.083,0,-5.48449e-05,-0.000769715,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000161692,0.00675126,-2.71317,-0.737279,-1.18203,2.71855,800.11,0,0,0
0.084,0,-5.55974e-05,-0.000752489,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000168755,0.00706296,-2.8384,-0.660187,-1.08266,2.89764,809.088,0,0,0
0.085,0,-5.63318e-05,-0.000734421,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000175911,0.00715638,-2.87634,-0.637288,-0.992396,3.07061,815.268,0,0,0
0.086,0,-5.70497e-05,-0.00071789,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000183141,0.00722966,-2.90622,-0.619769,-0.977714,3.21947,828.776,0,0,0
0.087,0,-5.77502e-05,-0.000700447,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000190434,0.00729364,-2.9324,-0.601843,-1.00204,3.35255,834.242,0,0,0
0.088,0,-5.84323e-05,-0.000682177,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000197797,0.00736235,-2.96047,-0.580801,-1.0383,3.47897,839.575,0,0,0
0.089,0,-5.90955e-05,-0.000663178,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000205236,0.00743957,-2.99195,-0.555385,-1.07357,3.6019,844.764,0,0,0
0.09,0,-5.97405e-05,-0.000645011,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000212742,0.00750532,-3.01885,-0.53023,-1.0962,3.72529,854.581,0,0,0
0.091,0,-6.03681e-05,-0.000627574,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000220273,0.00753156,-3.02994,-0.511753,-1.05746,3.86691,863.834,0,0,0
0.092,0,-6.09781e-05,-0.000610051,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000227458,0.00718495,-2.89189,-0.567269,-1.08467,3.984,870.269,0,0,0
0.093,0,-6.15699e-05,-0.000591763,0,0,-1.07105e-12,-1.07105e-09,0,0,0.000234361,0.00690305,-2.77969,-0.61076,-1.25653,4.05404,874.133,0,0,0
