Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.062,0,-3.48795e-05,-0.000992175,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000193507,-0.00434528,1.75342,-1,-2.40608,0.380793,578.958,0,0,0
0.063,0,-3.58685e-05,-0.000989021,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000197766,-0.00425894,1.71923,-1,-2.51609,0.481332,588.184,0,0,0
0.064,0,-3.68541e-05,-0.000985647,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000203138,-0.00537177,2.16474,-1,-2.62224,0.611701,602.887,0,0,0
0.065,0,-3.78345e-05,-0.000980405,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000209655,-0.00651712,2.62336,-1,-2.79068,0.493387,611.914,0,0,0
0.066,0,-3.88087e-05,-0.000974204,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00021707,-0.00741481,2.98299,-1,-2.94818,0.490118,623.677,0,0,0
0.067,0,-3.97759e-05,-0.000967141,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00022439,-0.0073196,2.9455,-1,-3.12402,0.433545,635.376,0,0,0
0.068,0,-4.07343e-05,-0.000958432,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000231132,-0.00674202,2.71503,-1,-3.28276,0.512798,644.179,0,0,0
0.069,0,-4.16834e-05,-0.000949044,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00023698,-0.00584803,2.35794,-1,-3.42302,0.692327,655.709,0,0,0
0.07,0,-4.26215e-05,-0.000938151,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000242255,-0.00527508,2.1292,-1,-3.5166,1.01714,664.337,0,0,0
0.071,0,-4.35474e-05,-0.000925904,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000247448,-0.0051937,2.09707,-1,-3.59574,1.32235,672.919,0,0,0
0.072,0,-4.44606e-05,-0.000913224,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00025322,-0.00577193,2.3288,-1,-3.69294,1.55615,684.112,0,0,0
0.073,0,-4.53608e-05,-0.000900125,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000260041,-0.00682028,2.74864,-1,-3.78109,1.81743,695.078,0,0,0
0.074,0,-4.62482e-05,-0.000887474,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000266863,-0.00682252,2.75009,-1,-3.94601,1.93979,708.54,0,0,0
0.075,0,-4.71219e-05,-0.000873611,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000273104,-0.00624083,2.51793,-1,-4.12374,2.0396,716.31,0,0,0
0.076,0,-4.7982e-05,-0.000860157,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000277892,-0.00478765,1.9371,-1,-4.29859,2.14184,729.24,0,0,0
0.077,0,-4.88275e-05,-0.000845458,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000281507,-0.00361523,1.46847,-1,-4.46641,2.22779,736.568,0,0,0
0.078,0,-4.96571e-05,-0.000829629,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000284691,-0.00318452,1.29646,-1,-4.63561,2.28918,743.813,0,0,0
0.079,0,-5.04699e-05,-0.000812792,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000288023,-0.00333199,1.3557,-1,-4.82781,2.29468,750.951,0,0,0
0.08,0,-5.12657e-05,-0.000795835,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000292078,-0.00405465,1.64506,-1,-5.02392,2.29471,760.502,0,0,0
0.081,0,-5.20445e-05,-0.000778769,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000297127,-0.00504927,2.04328,-1,-5.19635,2.36384,769.758,0,0,0
0.082,0,-5.28061e-05,-0.000761618,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00030242,-0.00529255,2.141,-1,-5.32566,2.55397,778.742,0,0,0
0.083,0,-5.3552e-05,-0.00074589,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000307086,-0.00466621,1.89086,-1,-5.33292,2.98917,792.423,0,0,0
0.084,0,-5.42819e-05,-0.000729863,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000311423,-0.00433666,1.7594,-1,-5.2485,3.52182,800.505,0,0,0
0.085,0,-5.49954e-05,-0.000713566,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000315452,-0.00402972,1.63696,-1,-5.24689,3.88736,808.342,0,0,0
0.086,0,-5.56924e-05,-0.000696982,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000319032,-0.00357995,1.45736,-1,-5.47766,3.91654,815.834,0,0,0
0.087,0,-5.63726e-05,-0.000680182,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000321832,-0.00279974,1.14553,-1,-5.84811,3.71025,823.085,0,0,0
0.088,0,-5.7035e-05,-0.000662454,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000323983,-0.00215104,0.886247,-1,-6.20465,3.4567,827.711,0,0,0
0.089,0,-5.7679e-05,-0.000643902,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000325821,-0.00183796,0.761175,-1,-6.47037,3.31306,832.208,0,0,0
0.09,0,-5.83036e-05,-0.000624636,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000327634,-0.00181302,0.751346,-1,-6.65619,3.30434,836.581,0,0,0
0.091,0,-5.89083e-05,-0.000604717,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000329551,-0.00191711,0.793132,-1,-6.77238,3.43291,840.809,0,0,0
0.092,0,-5.94945e-05,-0.000586217,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000332116,-0.00256491,1.05243,-1,-6.83688,3.66398,851.33,0,0,0
0.093,0,-6.00615e-05,-0.000567015,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000335124,-0.00300762,1.22974,-1,-7.28683,3.09494,854.816,0,0,0
0.094,0,-6.061e-05,-0.000548493,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000338152,-0.00302826,1.23824,-1,-7.48982,3.02967,862.382,0,0,0
0.095,0,-6.11383e-05,-0.000528243,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000341491,-0.00333922,1.36287,-1,-7.52304,3.3357,862.014,0,0,0
0.096,0,-6.16464e-05,-0.000508115,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.00034545,-0.00395873,1.61097,-1,-7.53856,3.69502,867.081,0,0,0
0.097,0,-6.21339e-05,-0.000487509,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000349878,-0.00442802,1.79902,-1,-7.49515,4.15295,869.787,0,0,0
0.098,0,-6.26004e-05,-0.00046648,0,0,-2.65884e-13,-2.65884e-10,0,0,-0.000354434,-0.00455613,1.85062,-1,-7.53611,4.44128,872.338,0,0,0
