Time, sus_pos_ref, sus_pos, sus_vel, sus_torque, steer_pos_ref, steer_pos, steer_vel, steer_torque, drive_vel_ref, drive_pos, drive_vel, drive_torque slip_ratio, grf_x, grf_y, grf_z, grt_x, grt_y, grt_z 
0.081,0,-5.3498e-05,-0.000842637,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000340109,0.00696757,-2.81396,-0.683745,-2.02824,-2.60882,793.95,0,0,0
0.082,0,-5.43256e-05,-0.000827544,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000347651,0.00754214,-3.04437,-0.55612,-2.38836,-2.42876,807.731,0,0,0
0.083,0,-5.51377e-05,-0.000812095,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000355292,0.00764111,-3.08456,-0.534964,-2.26174,-2.66664,816.579,0,0,0
0.084,0,-5.5934e-05,-0.000796344,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000363103,0.00781082,-3.15306,-0.50123,-2.198,-2.83834,825.145,0,0,0
0.085,0,-5.67134e-05,-0.000779404,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000370985,0.00788186,-3.18211,-0.486584,-2.01664,-3.08912,830.987,0,0,0
0.086,0,-5.74748e-05,-0.000761436,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000378846,0.00786134,-3.17453,-0.489616,-1.96892,-3.24118,836.747,0,0,0
0.087,0,-5.82173e-05,-0.00074251,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000386684,0.00783722,-3.16551,-0.490742,-2.02692,-3.32776,842.406,0,0,0
0.088,0,-5.89401e-05,-0.000722757,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000394563,0.00787894,-3.18282,-0.477156,-2.14893,-3.37175,847.936,0,0,0
0.089,0,-5.96424e-05,-0.000702302,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00040256,0.00799748,-3.23088,-0.446879,-2.30162,-3.38748,853.338,0,0,0
0.09,0,-6.03237e-05,-0.000681278,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00041072,0.00815962,-3.29638,-0.407525,-2.46353,-3.38449,858.586,0,0,0
0.091,0,-6.09841e-05,-0.000660445,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000418668,0.00794798,-3.21237,-0.432547,-2.62006,-3.37186,865.974,0,0,0
0.092,0,-6.1624e-05,-0.000639907,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000426089,0.00742148,-3.00238,-0.517318,-2.98925,-3.15859,872.957,0,0,0
0.093,0,-6.22441e-05,-0.000620068,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000433855,0.00776598,-3.14079,-0.431779,-3.16715,-3.09742,881.766,0,0,0
0.094,0,-6.28437e-05,-0.000599627,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00044227,0.00841431,-3.40077,-0.301727,-3.22097,-3.14535,885.744,0,0,0
0.095,0,-6.3423e-05,-0.000579269,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000451441,0.0091712,-3.70423,-0.176835,-3.07327,-3.37439,891.709,0,0,0
0.096,0,-6.39829e-05,-0.000559903,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000460307,0.0088664,-3.58303,-0.198753,-2.99901,-3.50254,899.507,0,0,0
0.097,0,-6.45228e-05,-0.0005399,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00046843,0.00812314,-3.2864,-0.286822,-2.86476,-3.68015,902.528,0,0,0
0.098,0,-6.50422e-05,-0.000519373,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000476069,0.00763895,-3.09336,-0.344073,-3.1175,-3.54996,905.458,0,0,0
0.099,0,-6.55412e-05,-0.000499056,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000483954,0.00788463,-3.19225,-0.276719,-3.16202,-3.59461,910.143,0,0,0
0.1,0,-6.60194e-05,-0.000478204,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000492164,0.00821037,-3.32319,-0.200804,-2.60938,-4.08867,912.596,0,0,0
0.101,0,-6.64763e-05,-0.000456913,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000500462,0.00829826,-3.35901,-0.162294,-2.27852,-4.34975,914.854,0,0,0
0.102,0,-6.69116e-05,-0.000435301,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000508671,0.00820811,-3.32361,-0.147426,-2.25352,-4.42443,916.954,0,0,0
0.103,0,-6.73251e-05,-0.000413458,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000516812,0.00814136,-3.29756,-0.127659,-2.45235,-4.37272,918.882,0,0,0
0.104,0,-6.77166e-05,-0.000391445,0,0,-2.93238e-12,-2.93238e-09,0,0,0.00052501,0.0081979,-3.32083,-0.0886768,-2.66998,-4.29032,920.622,0,0,0
0.105,0,-6.80859e-05,-0.000369304,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000533328,0.00831802,-3.36954,-0.0399693,-2.75041,-4.27368,922.166,0,0,0
0.106,0,-6.84334e-05,-0.000347571,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000541435,0.00810713,-3.28584,-0.0321873,-2.67681,-4.33647,925.22,0,0,0
0.107,0,-6.87604e-05,-0.000326942,0,0,-2.93238e-12,-2.93238e-09,0,0,0.000549612,0.00817694,-3.31442,0.0142844,-3.89426,-3.32069,929.615,0,0,0
